galaxy,subset,n_points,morph_slice,quality_flag,hubble_type,distance_mpc,luminosity_36e9_sol,mhi_1e9_sol_mass,gas_fraction_proxy,reff_kpc,rdisk_kpc,sbeff_sol_lum_pc2,rmse_c4_4_kms,rmse_baryon_kms,rmse_mond_kms,rmse_nfw_kms,rmse_iso_kms,rmse_burkert_kms,mae_c4_4_kms,mae_baryon_kms,mae_mond_kms,mae_nfw_kms,mae_iso_kms,mae_burkert_kms,median_abs_c4_4_kms,median_abs_baryon_kms,median_abs_mond_kms,median_abs_nfw_kms,median_abs_iso_kms,median_abs_burkert_kms,vflat_sample_kms,c4_vflat_proxy_kms,best_comparator_equal_weight
UGC00128,external_151,22,low_mass_dwarf,1,8,64.5,12.02,7.431,0.38203691326924066,9.63,5.95,20.36,16.43324938487304,76.02223851212626,41.63343438036952,23.393867704130585,4.113436591851576,6.591870905967713,14.32488339433833,73.9925842708608,39.058161775895044,22.481795908378082,3.102067802578139,4.40540760026498,13.349172982159075,80.62113114640279,40.84817904255904,24.37494672670485,2.523047558896593,2.3033204803905605,129.3,155.53455978470458,iso
UGC00191,external_151,9,low_mass_dwarf,1,9,17.1,2.004,1.343,0.4012548550941141,2.5,1.58,50.21,12.576392534540442,35.786209698908365,13.294737608234467,5.407599415277864,3.6411556242382055,4.373575378790483,10.429347658203685,32.64789756504289,12.190306449364433,4.250476480701602,2.9276698703690127,3.5094678126598433,8.28560790107451,30.548719925155403,11.714981442030805,2.9834764626978085,1.8239099854129677,2.8465352401670145,0.0,86.47784336150794,iso
UGC00634,external_151,4,low_mass_dwarf,2,9,30.9,2.989,3.663,0.5506614552014432,4.26,2.45,26.11,8.442685745459324,55.82543938951437,30.52196670253737,7.891784981571108,5.8803182631421365,5.100590840677693,6.24638799847245,54.27021649382611,29.89324898067618,6.753716413022627,5.066924451158858,4.6952003028989395,4.2609038841148745,59.96974294068831,28.17689173213877,6.041917875835232,4.202571079600446,4.722988552511069,0.0,123.21802877770034,burkert
UGC00731,external_151,12,low_mass_dwarf,1,10,12.5,0.323,1.807,0.8483568075117371,1.4,2.3,25.63,7.899572554980753,40.338654693185894,17.78539782581218,2.027930872651068,2.75300147113762,4.596024133952219,6.748930739485135,39.54020162655981,15.609452945045694,1.6809284841400316,2.449378841374463,4.144011487464505,6.821491271857997,42.329053188609905,15.959749608831892,1.773209032611696,2.54213026426126,3.930664805820335,73.3,83.95812985604145,nfw
UGC00891,external_151,5,low_mass_dwarf,2,9,10.2,0.374,0.428,0.5336658354114713,1.76,1.43,19.09,6.053576502301767,28.051947171192946,25.247117111199497,5.999203670815984,3.4296792785078347,2.359256651031048,5.651645673328953,25.918711765920772,25.208579574797135,4.446422444126637,2.723281464710895,1.9273256001036998,4.656601233442586,29.366729320146895,25.11302190783092,3.4858791380000866,2.317227215620022,2.303530770620071,0.0,72.9098127690154,burkert
UGC01230,external_151,11,low_mass_dwarf,1,9,53.7,7.62,6.43,0.45765124555160136,6.45,4.34,28.63,23.27576232500714,55.27303440357312,39.47018408305754,10.985256211374173,9.010426295237949,8.243263543060499,17.970176321533845,52.00643653271907,31.27368937666105,9.012894701687499,7.952735298210666,7.65347190914018,10.947198924701993,58.776828645247946,23.103303465494296,9.135574963747104,6.81584291530794,7.320352361325959,103.7,147.81666174800444,burkert
UGC01281,external_151,25,low_mass_dwarf,1,8,5.27,0.353,0.294,0.4544049459041731,2.01,1.63,13.83,3.6768543153477102,22.455984134539527,15.39283251922537,6.622643366885662,3.0354905639063405,3.6717873674297734,3.21265342541996,19.067957748057548,15.182839771598584,5.654359226000227,2.53263418328708,3.0185230474882827,3.4828412358955134,20.74940979689891,15.527751089047513,5.074210750214718,2.353455891751043,2.6860524238792323,55.2,60.405727344459365,iso
UGC02023,external_151,5,low_mass_dwarf,2,10,10.4,1.308,0.477,0.2672268907563025,2.73,1.55,27.59,6.3143245699351125,17.251693169251237,27.63489116560585,7.600867661062678,3.6721756799746053,3.0851742605744072,6.040968579159762,13.900816684868289,27.50635346374966,6.797512828043294,3.2008508226083294,2.7819344368403565,6.344665230350827,12.035740312686272,27.874505310701686,7.350715959860985,2.654013154412489,2.6247615035116567,0.0,61.371745357360375,burkert
UGC02259,external_151,8,low_mass_dwarf,2,8,10.5,1.725,0.494,0.2226228030644434,2.4,1.62,47.08,18.75273828818244,50.683974091391036,7.83181407490081,5.447502667711009,5.106475598215265,6.215063979300291,16.592116406568962,50.16594734585754,6.785014974931768,4.690826219855712,3.993351037314313,5.140653849410843,14.177911437661372,51.32168164704624,6.892063189555586,5.624284528464322,3.7223928179717944,4.25025022361157,86.2,83.25956175907756,iso
UGC02455,external_151,8,low_mass_dwarf,3,10,6.92,3.649,0.803,0.1803683737646002,1.49,0.99,254.0,24.972752894295752,16.502803185118854,58.191923617682676,16.60430533114775,16.512404837310953,16.520294624869305,24.668867719079607,15.02138316589034,57.59503185475576,15.074187954286177,15.012935565612562,15.010185496302334,26.055685009792267,15.332951232188844,59.53374994182674,15.509542215892921,15.37443610686568,15.400137648146139,0.0,80.07152839408707,baryon
