galaxy,subset,class,N_obs,factor_mean,factor_std,factor_median,factor_min,factor_max,alpha_mean,S_rad_mean
NGC4068,non_calibration_151,low_mass_dwarf,6,0.3572969323310848,0.1743740843248297,0.3677422312800177,0.1409690741945594,0.5767161586524698,0.7617328861815378,0.4979194579568082
NGC4085,non_calibration_151,bulge_rich_hsb,7,0.1946812912332654,0.1656327473176408,0.1566722428391686,0.0240175759004026,0.4671227364154476,0.9692622156679428,0.2186060627217267
NGC4088,non_calibration_151,bulge_rich_hsb,12,0.6482355504389655,0.3057315753552219,0.7763079701586982,0.1203595539313854,0.9373577666458948,1.2425344198520725,0.6758160415592219
NGC4100,non_calibration_151,bulge_rich_hsb,24,0.7698193713630533,0.2726269018695068,0.9251627714582642,0.1171174421018229,0.9567667315780763,1.21725188716745,0.8110721295633677
NGC4138,calibration_24,bulge_rich_hsb,7,0.721708876801045,0.3504270364598237,0.9282065238726056,0.0954305035603747,0.9510309216732692,1.247129179302903,0.7502674920020576
NGC4157,non_calibration_151,bulge_rich_hsb,17,0.7429857788280286,0.296122934067156,0.9069717381809768,0.0963505772672088,0.9546477641724066,1.2702306705904067,0.7698604194745092
NGC4183,non_calibration_151,bulge_rich_hsb,23,0.7500061041569593,0.2376922073892377,0.8678298046458428,0.1938799152738829,0.9442783406669149,1.1754451270456263,0.8049210926619653
NGC4214,non_calibration_151,low_mass_dwarf,14,0.5235222454468363,0.2824662677101499,0.6550814365003605,0.0416238233114882,0.7949501995580817,1.0350135951951769,0.5820082298775059
NGC4217,non_calibration_151,bulge_rich_hsb,19,0.7278728153857021,0.2399281671429602,0.8451108609283231,0.2137042074340407,0.9376729260879416,1.1470728806759969,0.7900584536224088
NGC4389,non_calibration_151,ordinary_disk,6,0.1134900331530538,0.0794604143561037,0.1033863549547239,0.0244606707757621,0.2320169669211155,0.8735826499522202,0.1385847763499178
NGC4559,non_calibration_151,bulge_rich_hsb,32,0.7083223245398738,0.2913537151231663,0.873060868070674,0.0756514183515449,0.9386911779129808,1.20353736218268,0.7465088046162639
NGC5005,non_calibration_151,bulge_rich_hsb,18,0.0858957697268302,0.0533103731598063,0.0751666551728494,0.0176579626260371,0.1782244764754932,0.9112328765083112,0.1032874502311644
