galaxy,subset,morph_slice,n_points,rmse_c4_4_kms,rmse_nfw_kms,delta_rmse_gmr_minus_nfw_kms,delta_squared_contribution_gmr_minus_nfw,abs_delta_squared_contribution,top5pct_favorable_to_gmr
UGC04483,external_151,low_mass_dwarf,8,2.7898172416157,1.6544016694120711,1.135415572203629,5.046035357862786,5.046035357862786,False
UGC12732,external_151,low_mass_dwarf,16,4.050573582904679,3.268693629364762,0.7818799535399172,5.722788307875469,5.722788307875469,False
UGC07866,external_151,low_mass_dwarf,7,2.951024359622823,1.5016870770945328,1.4493372825282902,6.453480693574571,6.453480693574571,False
F583-4,external_151,ordinary_disk,12,3.811053313612661,2.8244217099452764,0.9866316036673846,6.546769363587845,6.546769363587845,False
D631-7,external_151,low_mass_dwarf,16,7.979791543023788,7.529720115754168,0.45007142726962,6.980388048521007,6.980388048521007,False
UGC05750,external_151,low_mass_dwarf,11,11.206002823793572,10.86159124845857,0.3444115753350019,7.600334838277718,7.600334838277718,False
KK98-251,calibration_24,low_mass_dwarf,15,4.866124842036286,3.866611989585257,0.999512852451029,8.72848270027821,8.72848270027821,False
UGC00634,external_151,low_mass_dwarf,4,8.442685745459324,7.891784981571108,0.5509007638882153,8.998672401230756,8.998672401230756,False
UGCA444,calibration_24,low_mass_dwarf,36,3.4369209278536057,1.5182437745597996,1.918677153293806,9.507361305328502,9.507361305328502,False
DDO168,external_151,low_mass_dwarf,10,5.361799294914243,4.22784840303668,1.1339508918775625,10.874189559883064,10.874189559883064,False
F583-1,external_151,low_mass_dwarf,25,9.981814623750957,9.403099347797506,0.5787152759534511,11.218345838378568,11.218345838378568,False
UGC07559,external_151,low_mass_dwarf,7,4.359659902775531,2.524862467372482,1.8347974354030492,12.6317039887225,12.6317039887225,False
D512-2,calibration_24,low_mass_dwarf,4,4.129501127014831,1.7705751753652592,2.3589259516495718,13.91784310639704,13.91784310639704,False
UGC05918,external_151,low_mass_dwarf,8,4.373869424613552,1.4762987377622288,2.8975706868513234,16.95127578045094,16.95127578045094,False
DDO154,calibration_24,low_mass_dwarf,12,5.193574609839913,2.852899836951341,2.3406747728885717,18.834179748296812,18.834179748296812,False
F571-V1,external_151,ordinary_disk,7,8.732597918953731,7.482686417250766,1.2499115017029654,20.267670395205926,20.267670395205926,False
UGCA442,external_151,low_mass_dwarf,8,5.8375438126911,3.1609179640065084,2.676625848684592,24.085515389909098,24.085515389909098,False
DDO064,external_151,low_mass_dwarf,14,7.086145809860725,4.738591448704179,2.347554361156546,27.75921352087434,27.75921352087434,False
F574-1,external_151,ordinary_disk,14,8.084718753673748,5.761873588489294,2.3228451651844537,32.163490076273504,32.163490076273504,False
UGC05716,external_151,low_mass_dwarf,12,6.08656749051151,1.94103749388238,4.14552999662913,33.278677263894394,33.278677263894394,False
UGC10310,external_151,low_mass_dwarf,7,7.184245429970856,3.4736226969432784,3.7106227330275776,39.547327757337634,39.547327757337634,False
UGC12632,external_151,low_mass_dwarf,15,7.072812756352796,3.1439065361867065,3.92890622016609,40.14053197814934,40.14053197814934,False
NGC2915,calibration_24,low_mass_dwarf,30,11.232251143915628,9.0948427294775,2.137408414438127,43.44730148606418,43.44730148606418,False
UGC08837,external_151,low_mass_dwarf,8,9.517976862137555,6.754885871869118,2.763090990268437,44.96340040620885,44.96340040620885,False
UGC06917,external_151,low_mass_dwarf,11,8.616670491921525,5.318534676266346,3.298135815655179,45.96019926370357,45.96019926370357,False
NGC2366,external_151,low_mass_dwarf,26,8.352808459550149,4.879144154909722,3.473664304640427,45.963361477542826,45.963361477542826,False
UGC07524,external_151,low_mass_dwarf,31,8.249194370535145,4.646933483250542,3.6022608872846034,46.45521696511372,46.45521696511372,False
IC2574,external_151,low_mass_dwarf,34,10.672010947548218,8.160539691695599,2.5114712558526193,47.29740960484972,47.29740960484972,False
NGC0247,calibration_24,ordinary_disk,26,9.049370819632609,5.766558899832649,3.2828119197999595,48.637910685979016,48.637910685979016,False
UGCA281,external_151,low_mass_dwarf,7,7.231770369442099,1.6624497464006556,5.569320623041444,49.53476351703311,49.53476351703311,False
UGC08550,external_151,bulge_rich_hsb,11,7.7053053897329695,2.392419809770016,5.312885579962954,53.64805860286795,53.64805860286795,False
UGC07577,external_151,low_mass_dwarf,9,7.6045390461850335,1.6924235690118483,5.912115477173185,54.964716568005976,54.964716568005976,False
UGC00731,external_151,low_mass_dwarf,12,7.899572554980753,2.027930872651068,5.871641682329685,58.290742927153815,58.290742927153815,False
UGC04499,external_151,low_mass_dwarf,9,8.861551482466684,4.010444594575428,4.851106887891256,62.44342883024822,62.44342883024822,False
UGC07261,external_151,low_mass_dwarf,7,8.089177147498916,1.702872564620128,6.386304582878788,62.53501195228276,62.53501195228276,False
UGC11820,external_151,low_mass_dwarf,10,9.438337927094882,4.987807021991584,4.450530905103298,64.20400393740915,64.20400393740915,False
NGC0300,external_151,ordinary_disk,25,9.58722864489587,5.056805823814612,4.530422821081258,66.34366794974652,66.34366794974652,False
UGC07151,external_151,bulge_rich_hsb,11,9.192035191091817,3.9465470194520353,5.245488171639781,68.91827757752463,68.91827757752463,False
CamB,calibration_24,low_mass_dwarf,9,9.50775168926555,3.39604577056198,6.111705918703571,78.86421530898001,78.86421530898001,False
UGC07608,external_151,low_mass_dwarf,8,11.006404985757758,6.005024129157295,5.001380856600463,85.08063591875191,85.08063591875191,False
UGC05005,external_151,low_mass_dwarf,11,15.842338178833325,12.825549161083568,3.0167890177497565,86.48496768914856,86.48496768914856,False
UGC07690,external_151,low_mass_dwarf,7,9.545804783260992,1.5680545668749686,7.977750216386024,88.663593835431,88.663593835431,False
NGC3953,external_151,bulge_rich_hsb,8,25.331958451652223,23.36430859822019,1.9676498534320324,95.8172027233685,95.8172027233685,False
NGC0289,calibration_24,bulge_rich_hsb,28,49.55575216416684,48.52182991210435,1.0339222520624887,101.40459453714175,101.40459453714175,False
NGC3949,external_151,bulge_rich_hsb,7,10.535432796201995,2.768142756038389,7.767290040163607,103.33272988548079,103.33272988548079,False
UGC07232,external_151,low_mass_dwarf,4,11.076795286390372,4.324384005590647,6.752411280799724,103.99509678879176,103.99509678879176,False
UGC07603,external_151,bulge_rich_hsb,12,11.235400445247326,4.178618545755077,7.056781899492249,108.77337021413553,108.77337021413553,False
UGC06446,external_151,ordinary_disk,17,11.701315505712593,3.8029636047023576,7.898351901010235,122.45825238553921,122.45825238553921,False
UGC05999,external_151,low_mass_dwarf,5,14.792739310881656,9.518602303712427,5.274137007169228,128.22134650346396,128.22134650346396,False
UGC00191,external_151,low_mass_dwarf,9,12.576392534540442,5.407599415277864,7.1687931192625785,128.92351774673108,128.92351774673108,False
NGC1003,calibration_24,bulge_rich_hsb,36,13.97227061492686,7.92654849142303,6.04572212350383,132.3941751498679,132.3941751498679,False
NGC4088,external_151,bulge_rich_hsb,12,28.54966565587022,26.081050824804493,2.4686148310657288,134.86219693594057,134.86219693594057,False
NGC4559,external_151,bulge_rich_hsb,32,16.25545634632691,11.129467518873607,5.125988827453302,140.37481377367712,140.37481377367712,False
ESO116-G012,external_151,bulge_rich_hsb,15,16.033297660717206,10.698886977421182,5.334410683296024,142.60045132152732,142.60045132152732,False
F563-1,external_151,low_mass_dwarf,17,16.652166578037217,11.60411273485247,5.048053843184748,142.63921937953447,142.63921937953447,False
UGC07089,external_151,low_mass_dwarf,12,13.432394261141445,5.862371966128159,7.570022295013286,146.06181051750028,146.06181051750028,False
UGC05986,external_151,low_mass_dwarf,15,18.45072240665707,13.68010231570702,4.770620090950052,153.28395795930476,153.28395795930476,False
NGC7793,external_151,bulge_rich_hsb,46,15.334797391082429,8.401411256026199,6.93338613505623,164.57229993266475,164.57229993266475,False
UGC03580,calibration_24,bulge_rich_hsb,47,20.464665561690342,15.933203308309173,4.53146225338117,164.93556888792034,164.93556888792034,False
UGC08490,external_151,low_mass_dwarf,30,13.128959244100528,2.2022111385337357,10.926748105566793,167.51983693457066,167.51983693457066,False
F568-1,external_151,ordinary_disk,12,26.3102743633226,22.688996168229256,3.6212781950933426,177.4399899513886,177.4399899513886,False
UGC09992,external_151,low_mass_dwarf,5,13.546374420959124,2.0419503041038665,11.504424116855258,179.33469890838575,179.33469890838575,False
UGC06983,external_151,ordinary_disk,17,14.461193061434926,4.88827137327175,9.572921688163177,185.23090774134556,185.23090774134556,False
UGC05764,calibration_24,low_mass_dwarf,10,14.7427859380333,4.564798725760644,10.177987212272656,196.51234980796642,196.51234980796642,False
ESO444-G084,external_151,low_mass_dwarf,7,14.801040704268406,2.928776963591989,11.872263740676416,210.4930714269431,210.4930714269431,False
NGC4183,external_151,bulge_rich_hsb,23,15.704157851580506,5.903856414615638,9.800301436964869,211.76505326295944,211.76505326295944,False
NGC2976,external_151,bulge_rich_hsb,27,17.95742434558893,10.264088606618042,7.693335738970887,217.11757420304366,217.11757420304366,False
NGC4214,external_151,low_mass_dwarf,14,16.589747157141126,5.086966356562948,11.502780800578178,249.34248402506873,249.34248402506873,False
NGC1705,calibration_24,low_mass_dwarf,14,17.005112523675646,6.288111174371414,10.717001349304232,249.63350980161562,249.63350980161562,False
UGC08286,external_151,bulge_rich_hsb,17,16.995832665311895,4.963842505655094,12.0319901596568,264.21859556633456,264.21859556633456,False
UGC06667,external_151,ordinary_disk,9,17.91791000824126,6.125994064011572,11.79191594422969,283.52369579112735,283.52369579112735,False
DDO170,calibration_24,low_mass_dwarf,8,17.574530639999,2.760818710058869,14.813711929940132,301.24200726645256,301.24200726645256,False
F579-V1,external_151,ordinary_disk,14,19.74217069901997,8.327939125918416,11.414231573101553,320.3987338242398,320.3987338242398,False
UGC02259,external_151,low_mass_dwarf,8,18.75273828818244,5.447502667711009,13.305235620471429,321.98990799034505,321.98990799034505,False
UGC02455,external_151,low_mass_dwarf,8,24.972752894295752,16.60430533114775,8.368447563148003,347.93543158957533,347.93543158957533,False
UGC06973,calibration_24,bulge_rich_hsb,9,40.943722841732914,36.434717253316215,4.509005588416699,348.8998188115431,348.8998188115431,False
NGC4389,external_151,ordinary_disk,6,30.384205249039017,23.472027667184197,6.91217758185482,372.2638458066698,372.2638458066698,False
PGC51017,external_151,low_mass_dwarf,6,19.73841707641505,3.493939117169664,16.244477959245387,377.39749812802495,377.39749812802495,False
UGC04305,external_151,low_mass_dwarf,22,19.96898091954112,4.377034373049292,15.59194654649183,379.60176906214235,379.60176906214235,False
UGC06930,external_151,ordinary_disk,10,19.909329785521773,2.949881788383762,16.95944799713801,387.6796099432263,387.6796099432263,False
UGC05721,calibration_24,bulge_rich_hsb,23,20.30697802299132,4.500187991828221,15.8067900311631,392.1216644644575,392.1216644644575,False
DDO161,calibration_24,low_mass_dwarf,31,20.324015038098104,4.203712614896256,16.12030242320185,395.3943875202,395.3943875202,False
UGC06787,external_151,bulge_rich_hsb,71,136.94820741703867,135.49423929020077,1.453968126837907,396.12263391006127,396.12263391006127,False
F568-V1,external_151,ordinary_disk,15,24.88800439258794,14.453082262790304,10.434922129797638,410.52117575049294,410.52117575049294,False
UGC01230,external_151,low_mass_dwarf,11,23.27576232500714,10.985256211374171,12.290506113632969,421.085257780687,421.085257780687,False
F567-2,external_151,low_mass_dwarf,5,21.78597516333905,3.6632908407799634,18.122684322559085,461.2090140334835,461.2090140334835,False
F563-V2,external_151,low_mass_dwarf,10,27.5710216549588,17.041305391110356,10.529716263848442,469.75514566512015,469.75514566512015,False
NGC7814,external_151,bulge_rich_hsb,18,125.81834057998816,123.78295888217666,2.035381697811502,508.0339166752583,508.0339166752583,False
NGC7331,external_151,bulge_rich_hsb,36,51.53337070978301,46.05032880160579,5.483041908177221,535.0555139759181,535.0555139759181,False
NGC6789,external_151,low_mass_dwarf,4,24.500820058184527,7.110072094363605,17.39074796382092,549.7370583364892,549.7370583364892,False
UGC11557,external_151,low_mass_dwarf,12,26.95689356668061,13.165464893098536,13.791428673582073,553.3446449139363,553.3446449139363,False
NGC3769,external_151,bulge_rich_hsb,12,25.68930641328519,9.886306971831166,15.802999441454025,562.2013984543781,562.2013984543781,False
NGC0055,external_151,low_mass_dwarf,21,24.760746053918787,3.642225196380859,21.118520857537927,599.8287407655032,599.8287407655032,False
UGC04325,external_151,low_mass_dwarf,8,26.365205666412347,5.139956746299046,21.2252489201133,668.7049144783966,668.7049144783966,False
F563-V1,external_151,low_mass_dwarf,6,28.744928275225885,2.5781646081882736,26.16676366703761,819.6239688009659,819.6239688009659,False
UGC02916,external_151,bulge_rich_hsb,43,108.85461478143228,104.98836553462613,3.8662492468061487,826.7702615817434,826.7702615817434,False
