series,x_log10_gbar,y_log10_gobs,n_points,residual_vs_official
official_all,-10.77,-10.17,,
official_all,-10.85,-10.26,,
official_all,-10.89,-10.34,,
official_all,-10.93,-10.4,,
official_all,-10.97,-10.45,,
official_all,-11.01,-10.5,,
official_all,-11.08,-10.57,,
official_all,-11.19,-10.62,,
official_all,-11.24,-10.64,,
official_all,-10.63,-10.22,,
official_all,-10.72,-10.27,,
official_all,-10.79,-10.34,,
official_all,-10.84,-10.38,,
official_all,-10.53,-10.19,,
official_all,-10.66,-10.2,,
official_all,-10.74,-10.18,,
official_all,-10.78,-10.19,,
official_all,-10.83,-10.23,,
official_all,-10.88,-10.28,,
official_all,-10.91,-10.32,,
official_all,-10.95,-10.36,,
official_all,-10.99,-10.39,,
official_all,-11.01,-10.39,,
official_all,-11.01,-10.42,,
official_all,-11.05,-10.68,,
official_all,-11.14,-10.53,,
official_all,-11.18,-10.5,,
official_all,-11.25,-10.61,,
official_all,-11.32,-10.59,,
official_all,-8.3,-8.29,,
official_all,-8.39,-8.38,,
official_all,-8.47,-8.47,,
official_all,-8.55,-8.56,,
official_all,-8.61,-8.63,,
official_all,-8.66,-8.68,,
official_all,-8.71,-8.73,,
official_all,-8.76,-8.78,,
official_all,-8.8,-8.82,,
official_all,-8.84,-8.86,,
official_all,-8.88,-8.93,,
official_all,-8.95,-9.05,,
official_all,-8.99,-9.11,,
official_all,-9.02,-9.15,,
official_all,-9.05,-9.18,,
official_all,-9.27,-9.26,,
official_all,-9.41,-9.32,,
official_all,-9.43,-9.33,,
official_all,-9.48,-9.36,,
official_all,-9.5,-9.37,,
official_all,-9.52,-9.38,,
official_all,-9.54,-9.39,,
official_all,-9.56,-9.4,,
official_all,-9.57,-9.42,,
official_all,-9.64,-9.46,,
official_all,-9.67,-9.49,,
official_all,-9.69,-9.5,,
official_all,-9.7,-9.51,,
official_all,-9.71,-9.52,,
official_all,-9.73,-9.53,,
official_all,-9.74,-9.54,,
official_all,-9.76,-9.55,,
official_all,-9.79,-9.57,,
official_all,-9.83,-9.58,,
official_all,-9.84,-9.59,,
official_all,-9.85,-9.59,,
official_all,-9.86,-9.6,,
official_all,-9.86,-9.59,,
official_all,-9.87,-9.6,,
official_all,-9.88,-9.6,,
official_all,-9.89,-9.61,,
official_all,-9.96,-9.62,,
official_all,-10.02,-9.64,,
official_all,-10.03,-9.64,,
official_all,-10.05,-9.65,,
official_all,-10.13,-9.7,,
official_all,-10.21,-9.76,,
official_all,-10.28,-9.83,,
official_all,-10.33,-9.9,,
official_all,-10.39,-9.95,,
official_all,-10.45,-9.99,,
official_all,-10.5,-10.02,,
official_all,-10.55,-10.03,,
official_all,-10.59,-10.04,,
official_all,-10.63,-10.04,,
official_all,-10.67,-10.05,,
official_all,-10.71,-10.05,,
official_all,-10.74,-10.07,,
official_all,-10.77,-10.08,,
official_all,-10.8,-10.09,,
official_all,-10.83,-10.11,,
official_all,-10.86,-10.12,,
official_all,-10.89,-10.13,,
official_all,-10.94,-10.17,,
official_all,-10.98,-10.2,,
official_all,-11.03,-10.21,,
official_all,-11.07,-10.22,,
official_all,-11.15,-10.25,,
official_all,-9.12,-9.08,,
official_all,-9.18,-9.13,,
official_all,-9.23,-9.17,,
official_all,-9.69,-9.43,,
official_all,-9.71,-9.45,,
official_all,-9.73,-9.46,,
official_all,-9.75,-9.47,,
official_all,-9.75,-9.47,,
official_all,-9.76,-9.48,,
official_all,-9.77,-9.49,,
official_all,-9.78,-9.5,,
official_all,-9.79,-9.51,,
official_all,-9.8,-9.53,,
official_all,-9.81,-9.53,,
official_all,-9.82,-9.54,,
official_all,-9.83,-9.56,,
official_all,-9.85,-9.57,,
official_all,-9.86,-9.58,,
official_all,-9.88,-9.59,,
official_all,-9.89,-9.6,,
official_all,-9.92,-9.62,,
official_all,-9.93,-9.63,,
official_all,-9.95,-9.64,,
official_all,-9.97,-9.66,,
official_all,-9.97,-9.66,,
official_all,-10.11,-9.73,,
official_all,-10.28,-9.81,,
official_all,-10.36,-9.85,,
official_all,-10.37,-9.86,,
official_all,-10.38,-9.86,,
official_all,-10.41,-9.88,,
official_all,-10.52,-9.95,,
