galaxy,sbeff_sol_lum_pc2,gas_fraction_proxy,c4_minus_nfw_kms,morph_slice
NGC0055,54.55,0.25270466655901824,21.118520857537927,low_mass_dwarf
NGC0100,64.99,0.3810800459594025,-2.6949316585718885,bulge_rich_hsb
NGC0300,147.51,0.24261275272161742,4.530422821081258,ordinary_disk
NGC0801,818.14,0.06909768860324447,69.28223929369247,bulge_rich_hsb
NGC0891,1617.45,0.031246060979538103,-13.929813255023618,bulge_rich_hsb
NGC1090,283.68,0.10866283961003612,-10.968061452496215,bulge_rich_hsb
NGC2366,31.98,0.7327293318233296,3.473664304640427,low_mass_dwarf
NGC2683,1139.8,0.01718385255618973,-28.04687483725271,bulge_rich_hsb
NGC2841,983.63,0.04939463152362857,-49.12646662925833,bulge_rich_hsb
NGC2903,632.16,0.030231593911034766,19.54110577150255,bulge_rich_hsb
NGC2976,308.2,0.04854642957945243,7.693335738970887,bulge_rich_hsb
NGC2998,479.55,0.1345029910583701,-6.353703706091373,bulge_rich_hsb
NGC3109,11.4,0.7108792846497763,-0.10888442934840548,low_mass_dwarf
NGC3198,178.99,0.2211483681940262,-18.75313410042486,bulge_rich_hsb
NGC3521,2232.7,0.04667940218002023,-2.001069860044897,bulge_rich_hsb
NGC3726,198.08,0.08438604038744835,-2.2510510423614143,bulge_rich_hsb
NGC3769,626.37,0.2283955717118308,15.802999441454025,bulge_rich_hsb
NGC3877,598.18,0.02003566699991894,-10.012810278603933,bulge_rich_hsb
NGC3893,1573.37,0.09015297556122133,-27.128663216653628,bulge_rich_hsb
NGC3917,112.94,0.07914815125345853,-12.244689850265713,bulge_rich_hsb
NGC3949,1058.84,0.081350451276606,7.767290040163607,bulge_rich_hsb
NGC3953,587.26,0.019648519076131073,1.9676498534320324,bulge_rich_hsb
NGC3972,164.75,0.0779854821095908,0.02085844785450064,bulge_rich_hsb
NGC3992,360.44,0.06815970040775098,-83.03537054058839,bulge_rich_hsb
NGC4010,14.75,0.14142322097378274,-7.996447355787071,bulge_rich_hsb
NGC4013,746.16,0.03615603027016488,-25.03947507347066,bulge_rich_hsb
NGC4051,319.76,0.027530240391976726,28.139736525765073,bulge_rich_hsb
NGC4068,30.26,0.39487179487179486,-2.5155342466168893,low_mass_dwarf
NGC4085,856.7,0.05846660598968491,-3.8361952778156514,bulge_rich_hsb
NGC4088,457.96,0.07121338042800748,2.4686148310657288,bulge_rich_hsb
NGC4100,388.0,0.049635176651305686,-31.5552985115576,bulge_rich_hsb
NGC4157,848.85,0.0722555030479771,-42.43161035936475,bulge_rich_hsb
NGC4183,86.46,0.24442275515895148,9.800301436964869,bulge_rich_hsb
NGC4214,363.77,0.29870928088506454,11.502780800578178,low_mass_dwarf
NGC4217,483.98,0.029159695428005596,-5.381427128947351,bulge_rich_hsb
NGC4389,207.41,0.024649014496730234,6.912177581854824,ordinary_disk
NGC4559,211.27,0.23070509766555503,5.1259888274533,bulge_rich_hsb
NGC5005,1789.91,0.0071111111111111115,20.442192384011776,bulge_rich_hsb
NGC5033,2036.24,0.09287244608981883,-31.139958423443225,bulge_rich_hsb
NGC5371,560.83,0.031799939130706854,79.29230065369174,bulge_rich_hsb
