galaxy,morph_slice,n_points,surface_brightness_proxy,gas_fraction_proxy,luminosity_36e9_sol,delta_rmse_gmr_minus_nfw_kms
UGC09037,bulge_rich_hsb,22,334.83,0.21755690370843403,68.614,29.947125575359635
UGC09133,bulge_rich_hsb,68,1284.78,0.10566643696618346,282.926,-30.68862457801184
UGC09992,low_mass_dwarf,5,20.18,0.4862385321100917,0.336,11.504424116855258
UGC10310,low_mass_dwarf,7,28.37,0.4072182499148791,1.741,3.7106227330275776
UGC11455,bulge_rich_hsb,36,571.26,0.03439896609631711,374.322,-55.95180214822378
UGC11557,low_mass_dwarf,12,106.86,0.17713858289133685,12.101,13.79142867358207
UGC11820,low_mass_dwarf,10,20.18,0.6708517136070581,0.97,4.450530905103298
UGC11914,bulge_rich_hsb,65,2425.66,0.005884067958334438,150.028,17.26763056457365
UGC12506,bulge_rich_hsb,31,144.82,0.2030298012299645,139.571,-59.08946096922222
UGC12632,low_mass_dwarf,15,13.09,0.5727422003284073,1.301,3.92890622016609
UGC12732,low_mass_dwarf,16,26.84,0.68706589074526,1.667,0.7818799535399172
UGCA281,low_mass_dwarf,7,12.5,0.2421875,0.194,5.569320623041444
UGCA442,low_mass_dwarf,8,7.6,0.6526054590570719,0.14,2.676625848684591
