galaxy,subset,class,radial_index,radius_m,radius_kpc,v_obs_kms,g_N,A_B,C_B,nu_B,S_Psi,alpha_B,S_rad,sin_alpha_B_S_rad
NGC7793,external_151,bulge_rich_hsb,15,1.9439768763395613e+19,0.63,58.3,9.416813293574807e-11,0.7002705644837238,1.9299889107727184,0.7178539538454118,0.11102306039991941,0.43636950214476367,0.06731965971497794,0.028452786546571775
NGC7793,external_151,bulge_rich_hsb,16,2.0365472037843026e+19,0.6600000000000001,59.3,9.365464490217603e-11,0.6925760906155366,1.9108566620041574,0.7157735435211809,0.11709043693535287,0.4469355659063621,0.06813192807622981,0.02944690106077706
NGC7793,external_151,bulge_rich_hsb,17,2.1599743070439567e+19,0.7,59.5,9.296999419074663e-11,0.6823167921246203,1.8853469969794094,0.7129996630888732,0.1347383296673345,0.47688753318581284,0.06924000497997645,0.031782284043680185
NGC7793,external_151,bulge_rich_hsb,18,2.6845394958974894e+19,0.87,59.1,9.006022866717174e-11,0.6387147735382258,1.7769309206242307,0.701210671251565,0.16218763400838995,0.5259126485789243,0.07429404367946037,0.03729579807621845
NGC7793,external_151,bulge_rich_hsb,19,3.2399614605659357e+19,1.05,62.6,8.69793004657395e-11,0.5925479303291021,1.662137428012865,0.6887282093061797,0.1875041751121229,0.5729833732967039,0.08033671144002462,0.04355385306577162
NGC7793,external_151,bulge_rich_hsb,20,3.764526649419468e+19,1.22,65.6,8.406953494216459e-11,0.5489459117427078,1.5537213516576862,0.6769392174688715,0.21093943353288652,0.6177807811588966,0.08682251941301597,0.050289995797916286
NGC7793,external_151,bulge_rich_hsb,21,4.3199486140879135e+19,1.4,70.7,7.96198766666873e-11,0.5522968259523156,1.422504977691212,0.6602157961909765,0.23252914009045228,0.6771194646609205,0.09623154790710646,0.06029393337982175
NGC7793,external_151,bulge_rich_hsb,22,4.8445138029414466e+19,1.57,73.9,7.514780353002383e-11,0.5652157904767302,1.2953433553321307,0.6435860522012748,0.2524673998282498,0.736225200591953,0.10710480628952837,0.07192040011878055
NGC7793,external_151,bulge_rich_hsb,23,5.399935767609893e+19,1.7500000000000002,78.5,7.041266726767428e-11,0.5788946940908162,1.1607016375401622,0.6259780879768848,0.2708908271056298,0.7953723125248059,0.12098133402556906,0.08639570808368573
NGC7793,external_151,bulge_rich_hsb,24,5.924500956463424e+19,1.92,82.4,6.594059413101082e-11,0.5918136586152308,1.0335400151810812,0.6093483439871831,0.2879730053922828,0.8510283459090353,0.13702649017042068,0.10303826124297447
NGC7793,external_151,bulge_rich_hsb,25,6.4799229211318714e+19,2.1,87.1,6.120545786866126e-11,0.6054925622293169,0.8988982973891128,0.591740379762793,0.3038125413651165,0.907149571895103,0.15824927688995935,0.12466104140497594
NGC7793,external_151,bulge_rich_hsb,26,7.004488109985404e+19,2.27,89.6,5.673338473199779e-11,0.6184115267537315,0.7717366750300315,0.5751106357730913,0.3185459344373026,0.9598168594125124,0.183879649945382,0.15061334253145886
NGC7793,external_151,bulge_rich_hsb,27,7.55991007465385e+19,2.45,94.9,5.199824846964824e-11,0.6320904303678175,0.6370949572380632,0.5575026715487013,0.3322449486315734,1.013260423175302,0.2196922749392557,0.18642239131376784
NGC7793,external_151,bulge_rich_hsb,28,8.084475263507382e+19,2.62,98.1,4.887410837952585e-11,0.6254454844589433,0.5674102995394591,0.5421099216719184,0.34468870945205266,1.043787146506117,0.24533931778340995,0.21205049377477364
NGC7793,external_151,bulge_rich_hsb,29,8.609040452360915e+19,2.79,99.3,4.634607586413733e-11,0.6101486287014125,0.5231441550932319,0.527264217928105,0.3566915435777806,1.0650322110958852,0.2660740708958448,0.23276280362784668
NGC7793,external_151,bulge_rich_hsb,30,9.164462417029361e+19,2.97,98.6,4.366933555372595e-11,0.5939519578993211,0.47627411979722656,0.5115452374934789,0.3685536559208036,1.0863702711830092,0.2910058041177824,0.257523369196552
NGC7793,external_151,bulge_rich_hsb,31,9.750741157512721e+19,3.16,101.0,4.084388744829172e-11,0.5768554720526691,0.42680019365144306,0.49495298036804036,0.37932787222746994,1.107039683400358,0.321289240812249,0.2873541648522608
NGC7793,external_151,bulge_rich_hsb,32,1.0275306346366253e+20,3.3300000000000005,103.0,3.83158549329032e-11,0.5615586162951384,0.38253404920521583,0.4801072766242269,0.38915708344138994,1.1254634914155974,0.3525379801348518,0.3181540145179507
NGC7793,external_151,bulge_rich_hsb,33,1.0830728311034698e+20,3.51,107.0,3.5639114622491834e-11,0.545361945493047,0.33566401390921063,0.464388296189601,0.3983727530933154,1.1438015801998958,0.3908105747046381,0.3557214305529437
NGC7793,external_151,bulge_rich_hsb,34,1.1355293499888232e+20,3.68,114.0,3.31110821071033e-11,0.5300650897355161,0.29139786946298324,0.4495425924457875,0.4067887809633394,1.1607407069644433,0.43290839078445,0.39701970111482104
NGC7793,external_151,bulge_rich_hsb,35,1.1879858688741764e+20,3.85,112.0,3.114705879414886e-11,0.512863564865887,0.2622008094724557,0.4355854668407165,0.4149520255907323,1.1728515782075715,0.46682973527255467,0.43035138000156564
NGC7793,external_151,bulge_rich_hsb,36,1.243528065341021e+20,4.03,114.0,2.9519003726065445e-11,0.4931254653410807,0.243349335603971,0.4215186558684555,0.4226405527208461,1.181283090551314,0.49364119829680014,0.4566645167282937
NGC7793,external_151,bulge_rich_hsb,37,1.2959845842263743e+20,4.2,116.0,2.798139616176445e-11,0.47448392690098595,0.22554516583929105,0.4082333343946535,0.42989654822895473,1.1891613419243683,0.5206298128833268,0.4831741137503346
